DESA,KECAMATAN,PRED_IKS_2045,PRED_IKE_2045,PRED_IKL_2045,PRED_IDM_2045,PRED_STATUS_2045
SUMBERPUCUNG,SUMBERPUCUNG,0.8914000000000306,0.9332999999999977,0.8888999999998543,0.9045333333332942,MANDIRI
KARANGKATES,SUMBERPUCUNG,0.8971666666665203,0.9333666666668742,0.9777666666668047,0.9361000000000664,MANDIRI
TAMBAKASRI,SUMBERMANJING WETAN,0.7885666666665561,0.7610999999999257,0.3999999999999996,0.6498888888888271,BERKEMBANG
TEGALREJO,SUMBERMANJING WETAN,0.7580999999999368,0.6110999999998221,0.6444666666668054,0.6712222222221881,BERKEMBANG
SEKARBANYU,SUMBERMANJING WETAN,0.7676333333332822,0.6388666666666298,0.6666999999999972,0.6910666666666364,BERKEMBANG
KLEPU,SUMBERMANJING WETAN,0.8342999999999957,0.733299999999997,0.4666999999999999,0.6780999999999975,BERKEMBANG
RINGINKEMBAR,SUMBERMANJING WETAN,0.7999999999999992,0.5832999999999987,0.6666999999999972,0.6833333333333318,BERKEMBANG
KEDUNGBANTENG,SUMBERMANJING WETAN,0.8228333333332232,0.7666666666665566,0.5777666666668052,0.7224222222221951,MAJU
SITIARJO,SUMBERMANJING WETAN,0.8456999999999952,0.8332999999999954,0.8666999999999966,0.8485666666666624,MANDIRI
SUMBERAGUNG,SUMBERMANJING WETAN,0.8152333333333042,0.6388666666666298,0.9332999999999977,0.7957999999999772,MAJU
ARGOTIRTO,SUMBERMANJING WETAN,0.8323666666664948,0.6444666666664911,0.6666999999999972,0.7145111111109944,MAJU
HARJOKUNCARAN,SUMBERMANJING WETAN,0.8228999999999971,0.6221999999997526,0.6666999999999972,0.7039333333332488,BERKEMBANG
SUMBERMANJING WETAN,SUMBERMANJING WETAN,0.8570999999999976,0.8999999999999986,0.6666999999999972,0.8079333333333313,MAJU
RINGINSARI,SUMBERMANJING WETAN,0.8056999999999994,0.5610999999999285,0.6666999999999972,0.6778333333333085,BERKEMBANG
DRUJU,SUMBERMANJING WETAN,0.8533333333332802,0.59443333333326,0.4666999999999999,0.6381555555555134,BERKEMBANG
TAMBAKREJO,SUMBERMANJING WETAN,0.8552333333332334,0.8832999999999955,0.9777666666668047,0.9054333333333445,MANDIRI
SIDOASRI,SUMBERMANJING WETAN,0.8170999999999952,0.6833333333334355,0.6666999999999972,0.7223777777778094,MAJU
WONOREJO,SINGOSARI,0.6913999999999983,0.5388666666666304,0.8666999999999966,0.6989888888888752,BERKEMBANG
DENGKOL,SINGOSARI,0.8533333333332802,0.7388999999998571,0.6666999999999972,0.7529777777777115,MAJU
BATURETNO,SINGOSARI,0.7714000000000334,0.7055666666667337,0.688899999999437,0.7219555555554015,MAJU
WATUGEDE,SINGOSARI,0.8514333333332226,0.8332999999999954,0.8666999999999966,0.8504777777777383,MANDIRI
BANJARARUM,SINGOSARI,0.9066333333332345,0.9111333333333661,0.5999999999999983,0.8059222222221996,MAJU
TUNJUNGTIRTO,SINGOSARI,0.8856999999999942,0.8888999999998543,0.7333666666662425,0.8359888888886969,MANDIRI
LANG-LANG,SINGOSARI,0.8285666666664839,0.7166999999999979,0.6222333333331899,0.7224999999998906,MAJU
PURWOASRI,SINGOSARI,0.7809333333333076,0.7166999999999979,0.6444333333326303,0.7140222222219785,MAJU
KLAMPOK,SINGOSARI,0.8590333333333168,0.766699999999997,0.6666999999999972,0.7641444444444371,MAJU
GUNUNGREJO,SINGOSARI,0.8609333333332688,0.577799999999928,0.733299999999997,0.7240111111110646,MAJU
TAMANHARDJO,SINGOSARI,0.935266666666713,0.6832999999999984,0.6222333333331899,0.7469333333333004,MAJU
ARDIMULYO,SINGOSARI,0.8818999999999844,0.7221999999997524,0.6666999999999972,0.7569333333332446,MAJU
TOYOMARTO,SINGOSARI,0.8247666666665453,0.6055666666664178,0.7777666666663834,0.7360333333331154,MAJU
RANDUAGUNG,SINGOSARI,0.887633333333246,0.6722333333331891,0.6666666666662422,0.7421777777775591,MAJU
BENDOSARI,PUJON,0.8552666666664943,0.699966666666559,0.8888999999998543,0.8147111111109693,MANDIRI
SUKOMULYO,PUJON,0.805733333333187,0.6555666666666293,0.9111333333330472,0.7908111111109545,MAJU
PUJON KIDUL,PUJON,0.862833333333222,0.749999999999997,0.9555333333331878,0.8561222222221355,MANDIRI
PANDESARI,PUJON,0.9466999999999739,0.8332999999999954,0.7999999999999992,0.8599999999999893,MANDIRI
PUJON LOR,PUJON,0.8609333333332323,0.8999999999999986,0.7999999999999992,0.8536444444444099,MANDIRI
